Year(Release_Date),Developer,Count(*)
2011,"Eclipse Games",2
2011,"Eden Studios",1
2011,"Edmund McMillen and Florian Himsl",1
2011,"Eggtooth Team",1
2011,Egosoft,1
2011,"Electronic Arts",3
2011,"Electronic Paradise",1
2011,"Endlessfluff Games",1
2011,"Epic Games, Inc.",3
2011,"Eugen Systems",2
2011,"exosyphen studios",3
2011,"Extend Studio",3
2011,"Fakt Software",3
2011,Fatshark,3
2011,"Feral Interactive (Mac)",13
2011,"Final Form Games",3
2011,"Firaxis Games",5
2011,"Fish Factory Games",1
2011,"Flying Wild Hog",1
2011,Frozenbyte,1
2011,"Fuel Entertainment",1
2011,"Future Studios",7
2011,"G-Trax Simulation",1
2011,"G-Trax Simulations",1
2011,"G3 Community Patch Team",1
2011,"Gaijin Games",3
2011,"Game Distillery s.r.o.",1
2011,GameConnect,1
2011,"Games Farm",2
2011,"Gaming Minds Studios",1
2011,"Gas Powered Games",4
2011,"Gaslamp Games, Inc.",2
2011,"Gearbox Software",2
2011,"Geoff Keighley",1
2011,"Giant Army",1
2011,"Giants Software",6
2011,"GSC Game World",7
2011,"Gunnar Games, Inc.",1
2011,"Haemimont Games",8
2011,"Hazardous Software Inc.",2
2011,"Headup Games",1
2011,"Headup Games / Crenetic",2
2011,"Her Interactive",5
2011,"Hi-Rez Studios",1
2011,"Hidden Path Entertainment",1
2011,"Hothead Games",2
2011,"Ice-pick Lodge",2
2011,"id Software",2
2011,"Ideas Pad",1
2011,"Incinerator Studios",1
2011,"Independent Programmist Group",1
2011,"Infinity Ward",3
2011,"inner seas",2
2011,"InterWave Studios",1
2011,"inXile Entertainment",1
2011,"Iridium Studios",2
2011,"Ironclad Games",2
2011,ISOTX,1
2011,"Jason Rohrer",1
2011,Jellyvision,1
2011,"Joshua Neurnberger",1
2011,"Just Trains",2
2011,"Kaos Studios",3
2011,"Keith Ross",2
2011,"Killspace Entertainment",1
2011,"Kot in Action Creative Artel",5
2011,KrossRails,2
2011,"Krystian Majewski",1
2011,"KTX Software",2
2011,"Lionhead Studios",1
2011,"Lunar Giant",1
2011,"Mad Vulture Games",1
2011,"Manic Game Studios",2
2011,"Martin Ivanov",1
2011,Mediatonic,1
2011,Meridian4,2
2011,"Michael Brough",1
2011,Microids,4
2011,"MinMax Games Ltd.",2
2011,"Mode 7",2
2011,"Mommy's Best Games",2
2011,MumboJumbo,2
2011,"MumboJumbo, LLC",1
2011,Murudai,2
2011,"Muse Games",1
2011,"Mystic Box",2
2011,"N3V Games",3
2011,"Nemesys Games",5
2011,"NEOCORE GAMES",1
2011,NeoCoreGames,6
2011,"NGD Studios",3
2011,Nicalis,3
2011,"Nitro Games ",5
2011,"Ntronium Games",1
2011,Nucleosys,1
2011,"Number None",1
2011,"Obsidian Entertainment",8
2011,"Octane Games",2
2011,"Online Warmongers Group Inc.",1
2011,"Oovee Entertainment",3
2011,"Oovee® Game Studios",3
2011,"OVERKILL Software",1
2011,"Owlchemy Labs",1
2011,"Paradox Development Studio",4
2011,"Paradox Interactive",12
2011,"Paul Fisch",1
2011,"Pendulo Studios",3
2011,"People Can Fly",3
2011,"Perfect World Beijing",1
2011,"Perfect World Entertainment",1
2011,"Peter Brinson and Kurosh ValaNejad",1
2011,Petroglyph,2
2011,"Platine Dispositif",6
2011,Playbrains,2
2011,Playdead,2
2011,PomPom,3
2011,"Positech Games",2
2011,"Power of 2",2
2011,Puppygames,1
2011,RailSimulator.com,9
2011,"RavenSoft / id Software",1
2011,Re-Logic,1
2011,"Reality Pump Studios",3
2011,"Realmforge Studios",6
2011,"Recoil Games",2
2011,"RED DUCK Inc.",2
2011,"Red Redemption",4
2011,"Related Designs",2
2011,Relic,11
2011,"Relic Entertainment",23
2011,"Reloaded Productions",1
